xmin,xmax,words,karTones,emiTones,sarTones,karBreaks,emiBreaks,sarBreaks,karMisc,emiMisc,sarMisc
15.09,15.42,jail, !H*, !H*,, 1, 4, ,,,
15.42,16.17,conditions, L-L%, L-L%, H-L%, 4, 4, 4,,,
16.17,16.880001,Next, H*, H*,, 1, 1, 1,,,
16.880001,17.059999,week, !H*, !H+L, H*, 3, 3, 3,,,
17.059999,17.259998,some,, L*,, 1, 1, 1,,,
17.259998,17.860001,inmates, H* L-H%, !H-L%, , 4, 4, ,,,
17.860001,18.280001,released, H*, L+H*, H*, 2-, 2-, 2-,,,
18.280001,18.700001,early, !H* H-L%, !H*, , 4, 4*, ,,,
18.700001,18.959999,from,,,, 1, 1, 1,,,
18.959999,19.07,the,, L*,, 2-, 2-, 2-,,,
19.07,19.540001,Hampton, H*, !H*,, 2-, 2-, 2-,,,
19.540001,19.93,county,, !H*,, 1, 1, 1,,,
19.93,20.23,jail,, !H*,, 1-, 1-, 1-,,,
20.23,20.360001,in,,,, 1, 1, 1,,,
20.360001,21.07,Springfield, H* L-L%, !H-L%,  H-L%, 4, 4, 4,,,
21.07,21.5,will,, L+H,, 1, 1, 1,,,
21.5,21.619999,be,,,, 1, 1, 1,,,
21.619999,21.98,wearing, H*, H*, H*, 1-, 1-, 1-,,,
21.98,22.049999,a,,,, 1-, 1-, 1-,,,
22.049999,22.93,wristband, H*, H*-L%, H*, 4, 4, ,,,
22.93,23.02,that,,,, 1, 1, 1,,,
23.02,23.32,hooks,, L+H,, 1, 1, 1,,,
23.32,23.540001,up,,,, 3-, 3-, 3-,,,
23.540001,23.68,with,,,, 1-, 1-, 1-,,,
23.68,23.75,a,,,, 1, 1, 1,,,
23.75,24.209999,special, H*, L+H*, !H*, 1, 1, 1, f0 error, f0 error, f0 error
24.209999,24.720001,jack, !H* L-H%, H-L%, , 4, 4, ,,,
24.720001,25,on,,,, 1, 1, 1,,,
25,25.120001,their,, L+L*,, 1, 1, 1,,,
25.120001,25.450001,home, L*,, , 1, 1, 1,,,
25.450001,26.099998,phones, L-L%, H-L%, H-L%, 4, 4, 4,,,
26.099998,26.84,Whenever,, L*+H,, 3-, 3-, 3-, late f0?, late f0?, late f0?
26.84,26.870001,a,,,, 1-, 1-, 1-,,,
26.870001,27.49,computer, H* L-H%, H*+L, L*,,,,,,
27.49,28.059999,randomly, H*, !H*,, 4 1, 4* 1, 4 1,,,
28.059999,28.459999,calls, H*, !H*, H*, 1, 1, 1,,,
28.459999,28.639999,them,,,, 3, 3, 3,,,
28.639999,28.85,from,, L*,, 1, 1, 1,,,
28.85,29.25,jail, H* L-H%, H-L%, L-H%, 4, 4, 4,,,
29.25,29.68,the,, L+H,, 1, 1, 1,,,
29.68,30.08,former, H*, H*,, 3, 3, 3,,,
30.08,30.59,prisoner, !H* L-H%, !H*,, 4, 4, 4,,,
30.59,31.030001,plugs, H*, !H*, H*, 1, 1, 1,,,
31.030001,31.33,in, L-H%, !H-L%, H-H%, 4, 4, 4,,,
31.33,31.720001,to,,,, 1, 1, 1,,,
31.720001,31.9,let, H*,,, 2-, 2-, 2-,,,
31.9,32.43,corrections, H*, H+H*, H*, 1, 1, 1,,,
32.43,32.900002,officials,, L*,, 3, 3*, 3,,,
32.900002,33.240002,know, L-H%, L+!H,, 4, 4*, 4,,,
33.240002,33.510002,they're,,,, 1, 1, 1,,,
33.510002,33.66,in,,,, 1, 1, 1,,,
33.66,33.760002,the,,,, 1, 1, 1,,,
33.760002,34.09,right, H*, L+!H, H* , 1, 1, 1,,,
34.09,34.700001,place, !H* H-L%, H-L%, !H* H-L%, 4, 4, 4,,,
34.700001,35,at,, L*,, 1, 1, 1,,,
35,35.09,the,,,, 1, 1, 1,,,
35.09,35.419998,right, L*, H*, L*, 1, 1, 1,,,
35.419998,35.869999,time, L* L-L%, L-L%, L-L%, 4, 4, 4,,,
35.869999,36.709999,Margo, H*, L+H*, H*, 1, 1, 1,,,
36.709999,37.41,Melnicove, !H* L-H%, !H+L*,, 4, 4*, 4, f0 error - creak, f0 error - creak, f0 error - creak
37.41,38.079998,reports, L* L-L%, !H-L%, H-L%, 4, 4, 4,,,
